"","주소.시.","소속","해발고도.m.","산.코드","이름","id","주소"
"1","강원도 강릉시 왕산면 고단리","강릉시청",656.1,421501601,"덕우산",1,"강원도"
"2","강원도 강릉시 왕산면 대기리","강릉시청",674.5,421507401,"괴병산",2,"강원도"
"3","강원도 강릉시 왕산면 완산리","강릉시청",1238.3,421500201,"고루포기산",3,"강원도"
"4","강원도 고성군 거진읍 산북리","고성군청",383.4,428200801,"노인산",4,"강원도"
"5","강원도 고성군 현내면 산학리","고성군청",297,428200401,"고성산",5,"강원도"
"6","강원도 삼척시 남양동 ","삼척시청",73.1,422301101,"남산",6,"강원도"
"7","강원도 삼척시 마평동 ","삼척시청",506.6,422300801,"근산",7,"강원도"
"8","강원도 삼척시 미로면 삼거리","삼척시청",1357,422301901,"두타산",8,"강원도"
"9","강원도 삼척시 신기면 신기리","삼척시청",178.3,422301701,"독묘산",9,"강원도"
"10","강원도 삼척시 신기면 신기리","삼척시청",471.6,422300201,"간대산",10,"강원도"
"11","강원도 삼척시 신기면 신기리","삼척시청",471.6,422300201,"간대산",11,"강원도"
"12","강원도 삼척시 오분동 ","삼척시청",99.7,422300501,"고성산",12,"강원도"
"13","강원도 삼척시 원덕읍 노곡리","삼척시청",53.9,422301401,"덕봉산",13,"강원도"
"14","강원도 삼척시 원덕읍 옥원리","삼척시청",686.4,422300401,"검봉산",14,"강원도"
"15","강원도 양양군 서면 갈천리","양양군청",1196.3,428307401,"갈전곡봉",15,"강원도"
"16","강원도 양양군 서면 갈천리","양양군청",1196.3,428307401,"갈전곡봉",16,"강원도"
"17","강원도 영월군 김삿갓면 와석리","영월군청",1016,427500301,"곰봉",17,"강원도"
"18","강원도 영월군 남면 조전리","영월군청",626.4,427500701,"국지산",18,"강원도"
"19","강원도 영월군 남면 토교리","영월군청",818.6,427500101,"가창산",19,"강원도"
"20","강원도 영월군 남면 토교리","영월군청",818.6,427500101,"가창산",20,"강원도"
"21","강원도 영월군 상동읍 천평리","영월군청",1345.72,427505101,"구룡산",21,"강원도"
"22","강원도 영월군 영월읍 연하리","영월군청",889.6,427500201,"계족산",22,"강원도"
"23","강원도 원주시 문막읍 동화리","원주시청",259.5,421300301,"건등산",23,"강원도"
"24","강원도 원주시 신림면 구학리","원주시청",982.9,421300401,"구학산",24,"강원도"
"25","강원도 원주시 신림면 황둔리","원주시청",883.6,421300201,"감악봉",25,"강원도"
"26","강원도 인제군 남면 신월리","인제군청",557.5,428100501,"간무봉",26,"강원도"
"27","강원도 인제군 남면 신월리","인제군청",557.5,428100501,"간무봉",27,"강원도"
"28","강원도 인제군 북면 용대리","인제군청",1576.4,428101001,"귀떼기청",28,"강원도"
"29","강원도 인제군 북면 월학리","인제군청",1312.6,428101301,"대암산",29,"강원도"
"30","강원도 인제군 북면 한계리","인제군청",1518.5,428100201,"가리봉",30,"강원도"
"31","강원도 인제군 북면 한계리","인제군청",1518.5,428100201,"가리봉",31,"강원도"
"32","강원도 인제군 상남면 미산리","인제군청",1341.9,428100801,"개인산",32,"강원도"
"33","강원도 인제군 상남면 상남리","인제군청",1057.7,428100101,"가득봉",33,"강원도"
"34","강원도 인제군 상남면 상남리","인제군청",1057.7,428100101,"가득봉",34,"강원도"
"35","강원도 인제군 상남면 상남리","인제군청",1189.6,428100301,"가마봉",35,"강원도"
"36","강원도 인제군 상남면 상남리","인제군청",1189.6,428100301,"가마봉",36,"강원도"
"37","강원도 인제군 서화면 서흥리","인제군청",744.9,428101401,"덕세산",37,"강원도"
"38","강원도 인제군 인제읍 귀둔리","인제군청",1165,428105201,"가칠봉",38,"강원도"
"39","강원도 인제군 인제읍 귀둔리","인제군청",1165,428105201,"가칠봉",39,"강원도"
"40","강원도 정선군 북평면 남평리","정선군청",959,427701701,"남산",40,"강원도"
"41","강원도 정선군 북평면 숙암리","정선군청",1273,427700501,"갈미봉",41,"강원도"
"42","강원도 정선군 북평면 숙암리","정선군청",1273,427700501,"갈미봉",42,"강원도"
"43","강원도 정선군 사북읍 사북리","정선군청",1151.3,427701901,"노목산",43,"강원도"
"44","강원도 정선군 신동읍 고성리","정선군청",852.9,427700701,"고고산",44,"강원도"
"45","강원도 정선군 여량면 고양리","정선군청",1152.3,427700801,"고양산",45,"강원도"
"46","강원도 정선군 여량면 구절리","정선군청",1019,427702101,"다락산",46,"강원도"
"47","강원도 정선군 임계면 낙천리","정선군청",610.4,427702001,"노인봉",47,"강원도"
"48","강원도 정선군 정선읍 광하리","정선군청",693.5,427709801,"나팔봉",48,"강원도"
"49","강원도 정선군 정선읍 북실리","정선군청",1028,427709401,"계봉",49,"강원도"
"50","강원도 정선군 정선읍 신월리","정선군청",873.7,427701401,"기우산",50,"강원도"
"51","강원도 정선군 정선읍 회동리","정선군청",1561.8,427700101,"가리왕산",51,"강원도"
"52","강원도 정선군 정선읍 회동리","정선군청",1561.8,427700101,"가리왕산",52,"강원도"
"53","강원도 정선군 화암면 건천리","정선군청",948,427701801,"남전산",53,"강원도"
"54","강원도 정선군 화암면 화암리","정선군청",923.2,427701301,"군의산",54,"강원도"
"55","강원도 정선군 회암면 화암리","정선군청",1085.2,427700301,"각희산",55,"강원도"
"56","강원도 정선군 회암면 화암리","정선군청",1085.2,427700301,"각희산",56,"강원도"
"57","강원도 철원군 동송읍 이평리","철원군청",654.1,427800401,"금학산",57,"강원도"
"58","강원도 춘천시 남산면 강촌리","춘천시청",104.3,421100201,"검봉산",58,"강원도"
"59","강원도 춘천시 남산면 강촌리","춘천시청",485.4,421106101,"강선봉",59,"강원도"
"60","강원도 춘천시 남산면 강촌리","춘천시청",486.3,421101301,"두리봉",60,"강원도"
"61","강원도 춘천시 남산면 백양리","춘천시청",231.7,421100901,"깃대봉",61,"강원도"
