코스고유번호,코스명,코스설명,코스시도명,코스읍면동명,코스지역명,코스웹사이트주소,코스총길이,코스평균경사도,코스최고해발고도,코스최저해발고도,코스오름길이,코스평지길이,코스내림길이
398194,전마산_일출산행_20190101_053110,전마산_일출산행_20190101_053110,경기도,남양주시 화도읍,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/4085,4162,13.89,832,170,0.5,0.6,2.5
398192,경상북도구미시_20190101_052232,경상북도구미시_20190101_052232,경상북도,구미시 선주원남동,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/6109,696,21.76,1019,189,0.3,0.16,0.3
398189,2호근린공원도청이전-검무산_20190101_070650,2호근린공원도청이전-검무산_20190101_070650,경상북도,예천군 호명면,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/1058,4303,6.3,363,132,0.9,2.4,1
398186,마니산_20190101_054129,마니산_20190101_054129,인천광역시,강화군 화도면,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/2062,5606,6.8,484,138,1.2,3.4,1
398185,신불산_20190101_041812,신불산_20190101_041812,울산광역시,울주군 상북면,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/5093,13486,11.14,1190,208,2.76,4.6,4.95
398183,관악산연주대_20190101_053833,관악산연주대_20190101_053833,경기도,과천시 중앙동,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/4082,7583,9.28,657,93,1.8,2.68,2.5
398182,월악산영봉_20190101_084439,월악산영봉_20190101_084439,충청북도,제천시 덕산면,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/6107,6454,15.84,1112,288,2.4,1.55,2.5
398180,제주특별자치도_20190101_020959,제주특별자치도_20190101_020959,제주특별자치도,제주시 조천읍,제주특별자치도,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/6106,18144,13.72,1927,584,7.65,2.49,7.99
398179,울산광역시북구 무룡산 일출_20190101_053629,울산광역시북구 무룡산 일출_20190101_053629,울산광역시,북구 송정동,울산광역시 북구,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/2061,7071,10.8,445,64,2.6,1.77,2.7
398177,중봉-가지산_20190101_050526,중봉-가지산_20190101_050526,경상남도,밀양시 산내면,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/3065,5964,13.06,1258,670,2.3,1.9,1.76
