"","course_name","district","city_name1","length","height","hiking_road","uphill_road","downhill_road","level","level_1"
"1","주사랑교회~바라산_코스","경기도","용인시",6877,451,4.3,1.5,1.08,20,"easy"
"2","지구촌교회~성지바위산_코스","경기도","용인시",2719,244,1.42,0.8,0.5,20,"easy"
"3","모락산산림욕장위~포도원민족교회기도원_코스","경기도","의왕시",8117,363,5.3,1.52,1.3,20,"easy"
"4","수지성당삼거리~성지바위산_코스","경기도","용인시",2901,244,1.8,0.9,0.2,20,"easy"
"5","삼성쉐르빌~성지바위산_코스","경기도","용인시",2444,244,1.24,0.9,0.3,20,"easy"
"6","포도원민족교회기도원~모락산산림욕장위_코스","경기도","의왕시",8117,363,4.82,1.5,1.8,20,"easy"
"7","주안말사거리~광교산 반딧불이화장실_코스","경기도","수원시",2244,116,1.74,0.2,0.3,20,"easy"
"8","성복천~성지바위산_코스","경기도","용인시",2889,244,1.99,0.7,0.2,20,"easy"
"9","주안말사거리~광교산둘레길_코스","경기도","수원시",4277,189,2.78,0.7,0.8,20,"easy"
"10","용인동천동우체국~바라산_코스","경기도","용인시",9389,451,5.8,2.2,1.39,20,"easy"
"11","능원초등학교~불곡산_코스","경기도","용인시",5540,318,3.1,1.8,0.64,20,"easy"
"12","도정산~비루봉_코스","경기도","의정부",4855,285,3.16,1,0.7,20,"easy"
"13","봉산_코스","경기도","고양시",3828,181,2.33,1,0.5,20,"easy"
"14","봉산~증산로13가길 35_코스","경기도","고양시",3672,181,2.07,0.3,1.3,20,"easy"
"15","봉산~수색로22가길 5_코스","경기도","고양시",4024,181,2.12,0.4,1.5,20,"easy"
"16","봉산~신동아빌라_코스","경기도","고양시",3892,181,2.29,0.4,1.2,20,"easy"
"17","봉산_코스","경기도","고양시",3809,181,2.2,0.3,1.3,20,"easy"
"18","봉산_코스","경기도","고양시",3828,181,2.23,0.4,1.2,20,"easy"
"19","봉산~증산체육공원_코스","경기도","고양시",3751,181,2.1,0.2,1.45,20,"easy"
"20","청계산(망경대)~이수봉_코스","경기도","과천시",1563,603,0.76,0.3,0.5,20,"easy"
"21","이수봉~청계산(망경대)_코스","경기도","의왕시",1563,603,0.96,0.3,0.3,20,"easy"
"22","불곡산~능원초등학교_코스","경기도","광주시",5540,318,3.14,0.7,1.7,20,"easy"
"23","청계산(망경대)~이수봉_코스","경기도","과천시",1563,603,0.76,0.3,0.5,20,"easy"
"24","이수봉~청계산(망경대)_코스","경기도","의왕시",1563,603,0.96,0.3,0.3,20,"easy"
"25","월문교사거리~큰명산_코스","경기도","남양주",5717,523,3.92,0.3,1.4,20,"easy"
"26","월문교사거리~제공안산_코스","경기도","남양주",5137,523,3.84,0.1,1.1,20,"easy"
"27","덕소등산로입구_코스","경기도","남양주",3594,257,2.4,0.79,0.4,20,"easy"
"28","망치봉~오금산정상부근_코스","경기도","의왕시",2415,180,1.72,0.3,0.4,21,"easy"
"29","오금산정상부근~장안말고개_코스","경기도","의왕시",3238,181,1.84,0.4,1,21,"easy"
"30","망치봉~광교산(범봉)_코스","경기도","의왕시",3503,234,2.2,0.9,0.4,21,"easy"
"31","오금산정상부근~장안말고개_코스","경기도","의왕시",3238,181,1.84,0.4,1,21,"easy"
"32","오금산정상부근~망치봉_코스","경기도","의왕시",2414,180,1.4,0.4,0.6,21,"easy"
"33","오금산정상부근~장안말고개_코스","경기도","의왕시",3238,181,1.84,0.4,1,21,"easy"
"34","망치봉~오금산정상부근_코스","경기도","의왕시",2414,180,1.71,0.3,0.4,21,"easy"
"35","망치봉~광교산(범봉)_코스","경기도","의왕시",3509,234,2.31,0.9,0.3,21,"easy"
"36","오금산정상부근~장안말고개_코스","경기도","의왕시",3238,181,1.84,0.4,1,21,"easy"
"37","불곡산~대지산_코스","경기도","광주시",2339,318,1.14,0.6,0.6,21,"easy"
"38","불곡산~용인공원_코스","경기도","광주시",5392,318,3.1,0.7,1.59,21,"easy"
"39","도정산_코스","경기도","의정부",5738,285,3.44,0.8,1.5,21,"easy"
"40","도정산_코스","경기도","의정부",2116,275,1.22,0.8,0.1,21,"easy"
"41","봉산~증산체육공원_코스","경기도","고양시",3676,181,2,0.3,1.38,21,"easy"
"42","봉산_코스","경기도","고양시",3302,181,2,0.2,1.1,21,"easy"
"43","구산근린공원_코스","경기도","고양시",3241,149,1.84,0.5,0.9,21,"easy"
"44","봉산~증산로1길 26_코스","경기도","고양시",4163,181,2.66,0.2,1.3,21,"easy"
"45","봉산_코스","경기도","고양시",3994,181,2.1,0.4,1.49,21,"easy"
"46","덕산중학교_코스","경기도","고양시",3103,149,1.8,0.5,0.8,21,"easy"
"47","봉산_코스","경기도","고양시",2514,149,1.3,0.4,0.8,21,"easy"
"48","봉산~수색로18나길_코스","경기도","고양시",3785,181,2.2,0.4,1.19,21,"easy"
"49","봉산_코스","경기도","고양시",3695,181,2.2,0.2,1.3,21,"easy"
"50","봉산~은평종합사회복지관_코스","경기도","고양시",3861,181,2.1,0.3,1.46,21,"easy"
"51","봉산~신동아빌라_코스","경기도","고양시",3944,181,2.34,0.3,1.3,21,"easy"
"52","봉산~녹원에버빌_코스","경기도","고양시",3815,181,2.3,0.4,1.1,21,"easy"
"53","봉산~수색로22길 23-6_코스","경기도","고양시",4031,181,2.23,0.4,1.4,21,"easy"
"54","봉산~환희정사_코스","경기도","고양시",2505,181,1.6,0.1,0.8,21,"easy"
"55","봉산~신동아빌라_코스","경기도","고양시",3721,181,2.22,0.3,1.2,21,"easy"
"56","지산공인중개사사무소~삼성산 중턱_코스","경기도","안양시",2538,99,1.84,0.3,0.4,21,"easy"
"57","삼성산 중턱~지산공인중개사사무소_코스","경기도","안양시",2539,99,1.74,0.4,0.4,21,"easy"
"58","아차산_코스","경기도","구리시",3417,300,2.42,0.3,0.7,21,"easy"
"59","아차산~삼봉사_코스","경기도","구리시",5657,300,3.86,0.6,1.2,21,"easy"
"60","아차산_코스","경기도","구리시",3417,300,2.32,0.7,0.4,21,"easy"
"61","이마트에브리데이~관산14동마을회관_코스","경기도","고양시",2469,128,1.17,0.7,0.6,21,"easy"
"62","관산14동마을회관~이마트에브리데이_코스","경기도","고양시",2469,128,1.3,0.6,0.57,21,"easy"
"63","북한산성계곡~발바닥바위_코스","경기도","고양시",5148,349,3.55,1.3,0.3,21,"easy"
"64","북한산성계곡~진관사계곡_코스","경기도","고양시",4041,134,3.54,0.4,0.1,21,"easy"
"65","덕소등산로입구_코스","경기도","남양주",5402,423,3.5,1.3,0.6,21,"easy"
"66","포도원민족교회기도원~모락산터널위_코스","경기도","의왕시",8694,363,4.99,1.7,2,22,"easy"
"67","포도원민족교회기도원~모락산터널위_코스","경기도","의왕시",8656,363,5.36,1.3,2,22,"easy"
"68","포도원민족교회기도원~모락산 약수터_코스","경기도","의왕시",9331,363,5.33,1.4,2.6,22,"easy"
"69","예수회수련원~광교산둘레길_코스","경기도","수원시",7949,268,4.65,1.2,2.1,22,"easy"
"70","모락산 약수터~포도원민족교회기도원_코스","경기도","의왕시",9331,363,5.4,2.13,1.7,22,"easy"
"71","성북중학교~광교산둘레길_코스","경기도","용인시",6983,408,3.78,1.7,1.5,22,"easy"
"72","모락산~백운사입구정류소_코스","경기도","의왕시",5493,363,3.59,0.8,1,22,"easy"
"73","응봉~광교산둘레길_코스","경기도","용인시",4955,265,2.76,0.6,1.6,22,"easy"
"74","홍천초등학교~광교산_코스","경기도","용인시",5379,543,2.38,2.6,0.4,22,"easy"
"75","오금산정상부근~수루레미다리_코스","경기도","의왕시",8004,334,4.1,2.1,1.8,22,"easy"
"76","모락산터널위~포도원민족교회기도원_코스","경기도","의왕시",8694,363,4.6,2.39,1.6,22,"easy"
"77","망치봉~백운산중턱_코스","경기도","의왕시",3880,234,2.4,0.9,0.58,22,"easy"
"78","오금산정상부근~수루레미다리_코스","경기도","의왕시",8004,334,4.1,2.1,1.8,22,"easy"
"79","모락산터널위~포도원민족교회기도원_코스","경기도","의왕시",8656,363,4.9,1.86,1.8,22,"easy"
"80","계원예술대학교본관~모락산산림욕장위_코스","경기도","의왕시",793,206,0.19,0.5,0.1,22,"easy"
"81","홍천초등학교~광교산_코스","경기도","용인시",5379,543,2.38,2.6,0.4,22,"easy"
"82","황금산_코스","경기도","남양주",1543,110,0.84,0.3,0.4,22,"easy"
"83","도정산_코스","경기도","의정부",5558,285,3.16,1,1.4,22,"easy"
"84","봉산~가온누리빌_코스","경기도","고양시",4613,182,2.6,0.7,1.3,22,"easy"
"85","증산로13가길 35_코스","경기도","고양시",1848,138,0.75,0.3,0.8,22,"easy"
"86","봉산~은평터널로9길 22_코스","경기도","고양시",2473,181,1.5,0.1,0.87,22,"easy"
"87","봉산~영진빌라_코스","경기도","고양시",3578,181,2,0.4,1.18,22,"easy"
"88","봉산~신사동 237-484_코스","경기도","고양시",2511,181,1.51,0.1,0.9,22,"easy"
"89","봉산~숭실고등학교_코스","경기도","고양시",2421,181,1.52,0.1,0.8,22,"easy"
"90","봉산~신사동 237-484_코스","경기도","고양시",2505,181,1.5,0.1,0.9,22,"easy"
"91","증산체육공원_코스","경기도","고양시",1929,138,0.93,0.3,0.7,22,"easy"
"92","봉산~숭실100주년기념관_코스","경기도","고양시",2377,181,1.5,0.1,0.78,22,"easy"
"93","삼성산국기대~서울대입구매표소출발점_코스","경기도","안양시",5203,441,3,0.1,2.1,22,"easy"
"94","율목영농조합법인~우면산_코스","경기도","과천시",4590,247,2.99,1.2,0.4,22,"easy"
"95","지산공인중개사사무소~함평한우촌_코스","경기도","안양시",1793,119,0.99,0.4,0.4,22,"easy"
"96","함평한우촌~지산공인중개사사무소_코스","경기도","안양시",1793,119,1,0.4,0.39,22,"easy"
"97","아차산~동의초등학교_코스","경기도","구리시",5424,300,3.12,0.4,1.9,22,"easy"
"98","아차산~현대빌라트_코스","경기도","구리시",5480,300,3.1,0.3,2.08,22,"easy"
"99","한다리마을 버스정류장~아차산_코스","경기도","구리시",5420,300,3.12,1.5,0.8,22,"easy"
"100","아차산~아차산 생태공원_코스","경기도","구리시",5425,300,3.03,0.4,2,22,"easy"
"101","아차산~동의초등학교_코스","경기도","구리시",5377,300,3.38,0.3,1.7,22,"easy"
"102","아차산~동의초등학교_코스","경기도","구리시",5360,300,3,0.46,1.9,22,"easy"
"103","아차산~아차산성 유원지_코스","경기도","구리시",5533,300,3.23,0.4,1.9,22,"easy"
"104","아차산~현대빌라트_코스","경기도","구리시",5506,300,3.2,0.4,1.9,22,"easy"
"105","아차산~동의초등학교_코스","경기도","구리시",5287,300,3,0.39,1.9,22,"easy"
"106","아차산~워커힐버스정류소_코스","경기도","구리시",5486,300,3.2,0.39,1.9,22,"easy"
"107","관산25통마을회관앞버스정류소~대자교회_코스","경기도","고양시",2881,151,1.78,0.5,0.6,22,"easy"
"108","대자교회~관산25통마을회관앞버스정류소_코스","경기도","고양시",2881,151,1.7,0.6,0.58,22,"easy"
"109","보현정사~관산25통마을회관앞버스정류소_코스","경기도","고양시",2661,151,1.6,0.4,0.66,22,"easy"
"110","관산25통마을회관앞버스정류소~대자동회전교차로_코스","경기도","고양시",1842,150,0.94,0.5,0.4,22,"easy"
"111","관산25통마을회관앞버스정류소~보현정사_코스","경기도","고양시",2661,151,1.56,0.5,0.6,22,"easy"
"112","대자동회전교차로~관산25통마을회관앞버스정류소_코스","경기도","고양시",1842,150,0.94,0.3,0.6,22,"easy"
"113","대우디오슈페리움~수리산_코스","경기도","군포시",5757,421,3.26,1.9,0.6,22,"easy"
"114","북한산성계곡~효자리계곡_코스","경기도","고양시",4684,179,3.6,0.6,0.4,22,"easy"
