,course_name,district,city_name1,length,height,hiking_road,uphill_road,downhill_road,level,level_1
126,kc대학교~봉제산공원_코스,서울특별시,강서구,804,108,0.4,0.3,0.1,21,easy
652,kc대학교~봉제산근린공원_코스,서울특별시,강서구,1684,108,0.88,0.4,0.4,24,easy
849,LH강남아이파크~구룡산제1호 공영주차장_코스,서울특별시,강남구,3995,262,1.7,0.9,1.3,25,easy
144,LH강남아이파크~대모산_코스,서울특별시,강남구,2492,253,1.29,0.9,0.2,21,easy
816,가나빌라~농림축산검역본부 서울지역본부_코스,서울특별시,강서구,1108,104,0.5,0.4,0.2,25,easy
648,가나빌라~봉제산근린공원_코스,서울특별시,강서구,2047,108,1.25,0.4,0.4,24,easy
236,가온누리빌~봉산_코스,서울특별시,은평구,4613,182,2.6,0.9,1.1,22,easy
259,가온누리빌~봉산_코스,서울특별시,은평구,4554,182,2.35,0.9,1.3,22,easy
368,가온누리빌~봉산_코스,서울특별시,은평구,4779,182,2.5,0.9,1.38,23,easy
418,가온누리빌~봉산_코스,서울특별시,은평구,4445,182,2.15,0.9,1.4,23,easy
584,가온누리빌~봉산_코스,서울특별시,은평구,4046,182,2,0.9,1.15,24,easy
362,가온누리빌~증산로13가길 35_코스,서울특별시,은평구,4416,182,2.22,0.9,1.3,23,easy
335,가온누리빌~증산로1길 26_코스,서울특별시,은평구,4908,182,2.5,0.9,1.5,23,easy
402,가온누리빌~증산체육공원_코스,서울특별시,은평구,4499,182,2.1,1,1.4,23,easy
149,개화동교회~개화산약사사_코스,서울특별시,강서구,1063,105,0.56,0.4,0.1,21,easy
304,개화동교회~개화산입구_코스,서울특별시,강서구,1628,94,0.93,0.4,0.3,22,easy
72,개화산약사사~내촌_코스,서울특별시,강서구,1264,112,0.7,0.1,0.46,20,easy
305,개화산입구~개화동교회_코스,서울특별시,강서구,1628,94,1.03,0.3,0.3,22,easy
471,개화산입구~꿩고개공원_코스,서울특별시,강서구,1202,85,0.7,0.1,0.4,23,easy
152,개화산입구~미타사_코스,서울특별시,강서구,1007,92,0.5,0.3,0.2,21,easy
694,개화산입구~방화중학교_코스,서울특별시,강서구,515,83,0.22,0.1,0.2,24,easy
470,개화산입구~상사마을_코스,서울특별시,강서구,1579,112,1,0.2,0.38,23,easy
858,개화산입구~온 스토리_코스,서울특별시,강서구,647,83,0.15,0.1,0.4,25,easy
264,관천교회~독산배드민턴체육관_코스,서울특별시,관악구,1422,107,0.82,0.4,0.2,22,easy
606,관천교회~돌산(국기대)_코스,서울특별시,관악구,6492,297,3.29,2,1.2,24,easy
623,관천교회~돌산(국기대)_코스,서울특별시,관악구,6492,297,3.29,2,1.2,24,easy
619,관천교회~돌산_코스,서울특별시,관악구,5951,297,2.8,1.95,1.2,24,easy
781,관천교회~민주동산(국기대)_코스,서울특별시,관악구,4246,373,2.15,1.8,0.3,25,easy
784,관천교회~민주동산(국기대)_코스,서울특별시,관악구,4239,373,2.14,1.8,0.3,25,easy
787,관천교회~민주동산(국기대)_코스,서울특별시,관악구,4246,373,2.15,1.8,0.3,25,easy
797,관천교회~삼성산_코스,서울특별시,관악구,6456,452,2.9,2.86,0.7,25,easy
802,관천교회~삼성산국기대_코스,서울특별시,관악구,6932,441,3.33,2.8,0.8,25,easy
795,관천교회~지산공인중개사사무소_코스,서울특별시,관악구,10060,407,4.3,2.9,2.86,25,easy
438,광진구육상연합회~아차산_코스,서울특별시,광진구,5219,300,3.12,1.7,0.4,23,easy
457,구기터널통제소출발점 매표소~북한산성계곡_코스,서울특별시,은평구,7411,377,4.11,1.4,1.9,23,easy
284,구기터널통제소출발점 매표소~북한산성분소_코스,서울특별시,은평구,11993,377,6.19,3.31,2.5,22,easy
456,구기터널통제소출발점 매표소~북한산성탐방지원센터_코스,서울특별시,은평구,7032,377,3.73,1.4,1.9,23,easy
