,course_name,district,city_name1,length,height,hiking_road,uphill_road,downhill_road,level,level_1
65,LH강남아이파크~구룡산_코스,서울특별시,강남구,4260,259,2.86,0.9,0.3,17,very easy
74,LH강남아이파크~청계산입구삼거리_코스,서울특별시,강남구,5943,268,3.7,0.9,0.9,17,very easy
43,개화산약사사~미타사_코스,서울특별시,강서구,1114,105,0.71,0.1,0.3,16,very easy
41,개화산입구~개화산약사사_코스,서울특별시,강서구,1313,112,1.01,0.2,0.1,16,very easy
120,구룡배드민턴클럽~청계산입구삼거리_코스,서울특별시,강남구,3117,268,1.6,0.6,0.5,19,very easy
73,구룡산~LH강남아이파크_코스,서울특별시,강남구,4260,259,2.96,0.1,1,17,very easy
36,구룡산~디에스빌딩_코스,서울특별시,강남구,4311,259,3.3,0.1,0.7,16,very easy
57,구룡산~디에스빌딩_코스,서울특별시,강남구,4199,259,3.1,0.1,0.8,17,very easy
62,구룡산~정선_코스,서울특별시,강남구,4579,259,3.28,0.1,1,17,very easy
82,구룡산~탄허기념박물관_코스,서울특별시,강남구,4250,259,2.95,0.1,1,17,very easy
1,구룡산~한솔공원_코스,서울특별시,강남구,2325,259,1.83,0.1,0.3,12,very easy
59,구룡산제1호 공영주차장~염곡안1길_코스,서울특별시,강남구,4343,268,2.34,0.8,0.8,17,very easy
37,구룡산제1호 공영주차장~청계산입구삼거리_코스,서울특별시,강남구,4210,268,2.1,0.8,0.7,16,very easy
49,국기대(깃대봉)~삼성산국기대_코스,서울특별시,관악구,1182,441,0.88,0.2,0.1,17,very easy
50,국기대(깃대봉)~삼성산국기대_코스,서울특별시,관악구,1182,441,0.88,0.2,0.1,17,very easy
104,녹번역~홍은여자중학교산_코스,서울특별시,은평구,1173,129,0.67,0.4,0.1,19,very easy
105,대한주택~홍은여자중학교산_코스,서울특별시,은평구,1153,126,0.55,0.4,0.2,19,very easy
32,디에스빌딩~구룡산_코스,서울특별시,강남구,4311,259,3.5,0.6,0.1,16,very easy
70,디에스빌딩~구룡산_코스,서울특별시,강남구,4199,259,3,0.9,0.1,17,very easy
77,디에스빌딩~청계산입구삼거리_코스,서울특별시,강남구,5994,268,4.2,0.6,0.69,17,very easy
81,디에스빌딩~청계산입구삼거리_코스,서울특별시,강남구,5892,268,4,0.7,0.7,17,very easy
42,미타사~개화산약사사_코스,서울특별시,강서구,1114,105,0.71,0.2,0.2,16,very easy
16,배봉산 근린공원 1 개방화장실~서울시립대학교음악관_코스,서울특별시,동대문,824,66,0.62,0.1,0.1,15,very easy
29,배봉산 근린공원 1 개방화장실~서울시립대학교하늘못_코스,서울특별시,동대문,876,66,0.68,0.1,0.1,16,very easy
91,배봉산 근린공원 1 개방화장실~전농3동경로당_코스,서울특별시,동대문,602,67,0.3,0.1,0.2,18,very easy
106,배봉산근린공원~성지아트빌_코스,서울특별시,동대문,784,87,0.3,0.1,0.38,19,very easy
18,북한산성분소~72보병사단 버스정류장_코스,서울특별시,은평구,7538,149,6.24,0.6,0.6,15,very easy
95,북한산성분소~밤골 매표소기점_코스,서울특별시,은평구,3106,109,2.1,0.4,0.6,18,very easy
