CONTENTID,TITLE,ADDR1,ADDR2,AREACODE,FIRSTIMAGE,FIRSTIMAGE2,MAPX,MAPY,SIGUNGUCODE,ZIPCODE,TEL
2745986,에이플,강원도 영월군 영월읍 덕포시장길 9,NULL,32,http://tong.visitkorea.or.kr/cms/resource/02/2747002_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/2747002_image2_1.jpg,128.4768661,37.18153751,8,26229,NULL
2687856,뱃노리횟집,강원도 원주시 양지뜰4길 31,NULL,32,http://tong.visitkorea.or.kr/cms/resource/09/2701309_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/2701309_image2_1.jpg,127.983484,37.32649209,9,26461,033-731-6860
2708130,오월학교,강원도 춘천시 서면 납실길 160,NULL,32,http://tong.visitkorea.or.kr/cms/resource/65/2707265_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/65/2707265_image3_1.jpg,127.6347744,37.97156911,13,24460,NULL
2724696,살롱 드 이터널저니,경기도 가평군 설악면 유명로 1007-90,NULL,31,http://tong.visitkorea.or.kr/cms/resource/95/2723995_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/95/2723995_image3_1.jpg,127.4801265,37.62415943,1,12472,NULL
2736053,명가원,경기도 광명시 원노온사로 82,(노온사동),31,http://tong.visitkorea.or.kr/cms/resource/64/2747064_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/2747064_image2_1.jpg,126.8518024,37.45299573,4,14302,NULL
2741034,수산공원,경기도 김포시 대곶면 대명항1로 52,NULL,31,NULL,NULL,126.5460889,37.64288489,8,10041,NULL
2762540,풍경돌판구이,경기도 성남시 수정구 수정로25번길 5,(태평동),31,http://tong.visitkorea.or.kr/cms/resource/85/2762585_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/85/2762585_image2_1.JPG,127.1232809,37.4403465,12,13111,NULL
2607118,[백년가게](신)대원옥,경기도 수원시 팔달구 정조로800번길 6-3,NULL,31,http://tong.visitkorea.or.kr/cms/resource/04/2607204_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/04/2607204_image2_1.jpeg,NULL,NULL,13,16257,031-255-7493
2741570,안성장터국밥,경기도 안성시 미양면 구례골길 170-17,NULL,31,http://tong.visitkorea.or.kr/cms/resource/80/2758980_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/80/2758980_image2_1.png,127.2514126,36.98385715,16,17598,NULL
2713394,카페 오르골,경기도 이천시 신둔면 도자예술로62번길 27-17,NULL,31,http://tong.visitkorea.or.kr/cms/resource/67/2704567_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/2704567_image3_1.jpg,127.3831142,37.29314325,26,17306,NULL
2716710,루버월,경기도 파주시 안개초길 18-4,(문발동),31,NULL,NULL,126.7050611,37.7193788,27,10884,NULL
2741573,영빈루,경기도 평택시 탄현로 341,(신장동),31,http://tong.visitkorea.or.kr/cms/resource/66/2759066_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/66/2759066_image2_1.png,127.0565942,37.08277559,28,17753,NULL
2580347,[착한가게] 거제냉밀면,경상남도 거제시 거제중앙로25길 5,(고현동),36,NULL,NULL,128.6227092,34.88810873,1,53253,055-637-7277
2580351,[착한가게] 기사식당,경상남도 거제시 계룡로 3,(상동동),36,NULL,NULL,128.6313533,34.87401324,1,53290,055-637-4670
2580399,[착한가게] 서울식당,경상남도 거제시 서문로6길 7,"(고현동,태정pro vill)",36,NULL,NULL,128.6212649,34.88853366,1,53253,055-632-0161
