주소(시),소속,해발고도(m),산 코드,이름
강원도 강릉시 왕산면 고단리,강릉시청,656.1,421501601,덕우산
강원도 강릉시 왕산면 대기리,강릉시청,674.5,421507401,괴병산
강원도 강릉시 왕산면 완산리,강릉시청,1238.3,421500201,고루포기산
강원도 고성군 거진읍 산북리,고성군청,383.4,428200801,노인산
강원도 고성군 현내면 산학리,고성군청,297,428200401,고성산
강원도 삼척시 남양동 ,삼척시청,73.1,422301101,남산
강원도 삼척시 마평동 ,삼척시청,506.6,422300801,근산
강원도 삼척시 미로면 삼거리,삼척시청,1357,422301901,두타산
강원도 삼척시 신기면 신기리,삼척시청,178.3,422301701,독묘산
강원도 삼척시 신기면 신기리,삼척시청,471.6,422300201,간대산
강원도 삼척시 신기면 신기리,삼척시청,471.6,422300201,간대산
강원도 삼척시 오분동 ,삼척시청,99.7,422300501,고성산
강원도 삼척시 원덕읍 노곡리,삼척시청,53.9,422301401,덕봉산
강원도 삼척시 원덕읍 옥원리,삼척시청,686.4,422300401,검봉산
강원도 양양군 서면 갈천리,양양군청,1196.3,428307401,갈전곡봉
강원도 양양군 서면 갈천리,양양군청,1196.3,428307401,갈전곡봉
강원도 영월군 김삿갓면 와석리,영월군청,1016,427500301,곰봉
강원도 영월군 남면 조전리,영월군청,626.4,427500701,국지산
강원도 영월군 남면 토교리,영월군청,818.6,427500101,가창산
강원도 영월군 남면 토교리,영월군청,818.6,427500101,가창산
강원도 영월군 상동읍 천평리,영월군청,1345.72,427505101,구룡산
강원도 영월군 영월읍 연하리,영월군청,889.6,427500201,계족산
강원도 원주시 문막읍 동화리,원주시청,259.5,421300301,건등산
강원도 원주시 신림면 구학리,원주시청,982.9,421300401,구학산
강원도 원주시 신림면 황둔리,원주시청,883.6,421300201,감악봉
강원도 인제군 남면 신월리,인제군청,557.5,428100501,간무봉
강원도 인제군 남면 신월리,인제군청,557.5,428100501,간무봉
강원도 인제군 북면 용대리,인제군청,1576.4,428101001,귀떼기청
강원도 인제군 북면 월학리,인제군청,1312.6,428101301,대암산
강원도 인제군 북면 한계리,인제군청,1518.5,428100201,가리봉
강원도 인제군 북면 한계리,인제군청,1518.5,428100201,가리봉
강원도 인제군 상남면 미산리,인제군청,1341.9,428100801,개인산
강원도 인제군 상남면 상남리,인제군청,1057.7,428100101,가득봉
강원도 인제군 상남면 상남리,인제군청,1057.7,428100101,가득봉
강원도 인제군 상남면 상남리,인제군청,1189.6,428100301,가마봉
강원도 인제군 상남면 상남리,인제군청,1189.6,428100301,가마봉
강원도 인제군 서화면 서흥리,인제군청,744.9,428101401,덕세산
강원도 인제군 인제읍 귀둔리,인제군청,1165,428105201,가칠봉
강원도 인제군 인제읍 귀둔리,인제군청,1165,428105201,가칠봉
강원도 정선군 북평면 남평리,정선군청,959,427701701,남산
강원도 정선군 북평면 숙암리,정선군청,1273,427700501,갈미봉
강원도 정선군 북평면 숙암리,정선군청,1273,427700501,갈미봉
강원도 정선군 사북읍 사북리,정선군청,1151.3,427701901,노목산
강원도 정선군 신동읍 고성리,정선군청,852.9,427700701,고고산
강원도 정선군 여량면 고양리,정선군청,1152.3,427700801,고양산
강원도 정선군 여량면 구절리,정선군청,1019,427702101,다락산
강원도 정선군 임계면 낙천리,정선군청,610.4,427702001,노인봉
강원도 정선군 정선읍 광하리,정선군청,693.5,427709801,나팔봉
강원도 정선군 정선읍 북실리,정선군청,1028,427709401,계봉
강원도 정선군 정선읍 신월리,정선군청,873.7,427701401,기우산
강원도 정선군 정선읍 회동리,정선군청,1561.8,427700101,가리왕산
강원도 정선군 정선읍 회동리,정선군청,1561.8,427700101,가리왕산
강원도 정선군 화암면 건천리,정선군청,948,427701801,남전산
강원도 정선군 화암면 화암리,정선군청,923.2,427701301,군의산
강원도 정선군 회암면 화암리,정선군청,1085.2,427700301,각희산
강원도 정선군 회암면 화암리,정선군청,1085.2,427700301,각희산
강원도 철원군 동송읍 이평리,철원군청,654.1,427800401,금학산
강원도 춘천시 남산면 강촌리,춘천시청,104.3,421100201,검봉산
강원도 춘천시 남산면 강촌리,춘천시청,485.4,421106101,강선봉
강원도 춘천시 남산면 강촌리,춘천시청,486.3,421101301,두리봉
강원도 춘천시 남산면 백양리,춘천시청,231.7,421100901,깃대봉
강원도 춘천시 남산면 백양리,춘천시청,307.3,421100701,굴봉산
강원도 춘천시 남산면 수동리,춘천시청,420.2,421101001,꼬깔봉
강원도 춘천시 동내면 고은리,춘천시청,899.3,421101101,대룡산
강원도 춘천시 동면 만천리,춘천시청,439.8,421100401,구봉산
강원도 춘천시 동산면 봉명리,춘천시청,750.7,421100501,구절산
강원도 춘천시 북사면 물로리,춘천시청,1050.9,421100101,가리산
강원도 춘천시 북사면 물로리,춘천시청,1050.9,421100101,가리산
강원도 춘천시 신동면 정족리,춘천시청,651.7,421100801,금병산
강원도 춘천시 퇴계동 ,춘천시청,203.9,421100601,국사봉
강원도 춘천시 퇴계동 ,춘천시청,203.9,421100601,국사봉
강원도 태백시 원동 ,태백시청,1079.8,421900101,가덕산
강원도 태백시 원동 ,태백시청,1079.8,421900101,가덕산
강원도 태백시 하사미동 ,태백시청,1072.9,421900601,덕항산
강원도 평창군 대관령면 횡계리,평창군청,1135.2,427600401,곤신봉
강원도 평창군 대화리 신리,평창군청,1173.1,427600201,거문산
강원도 평창군 방림면 방림리,평창군청,315.1,427601401,두리봉
강원도 평창군 봉평면 유포리,평창군청,1230.2,427601001,대미산
강원도 평창군 용평면 재산리,평창군청,1174.1,427600501,금당산
강원도 평창군 진부면 봉산리,평창군청,1227.8,427601301,두루봉
강원도 평창군 진부면 신기리,평창군청,1391.4,427601501,두타산
강원도 홍천군 내면 광원리,홍천군청,780.8,427201301,대대산
강원도 홍천군 내면 창촌리,홍천군청,1579.1,427206801,계방산
강원도 홍천군 내촌면 도관리,홍천군청,304.8,427201601,도관산
강원도 홍천군 동면 노천리,홍천군청,876.4,427201401,대학산
강원도 홍천군 동면 성수리,홍천군청,415.4,427201101,남산
강원도 홍천군 북방면 중화계리,홍천군청,262.1,427201801,두개비산
강원도 홍천군 서석면 어론리,홍천군청,728.3,427201701,동막산
강원도 홍천군 서석면 풍암리,홍천군청,828.6,427200301,고양산
강원도 홍천군 홍천읍 상오안리,홍천군청,641.5,427200901,까끈봉
강원도 홍천군 화촌면 굴운리,홍천군청,887.4,427200401,공작산
강원도 횡선군 공근면 어둔리,횡성군청,636.7,427300101,감루봉
강원도 횡선군 공근면 어둔리,횡성군청,636.7,427300101,감루봉
강원도 횡성군 갑천면 구방리,횡성군청,497.2,427300301,국사봉
강원도 횡성군 갑천면 구방리,횡성군청,497.2,427300301,국사봉
강원도 횡성군 공근면 삼배리,횡성군청,501,427300201,관심산
강원도 횡성군 공근면 청곡리,횡성군청,352.8,427303901,독재봉
강원도 횡성군 서원면 유현리,횡성군청,775.5,427300401,금물산
경기도 가평군 북면 목동리,가평군청,857.5,418200101,가덕산
경기도 가평군 북면 목동리,가평군청,857.5,418200101,가덕산
경기도 가평군 북면 적목리,가평군청,830.2,418200201,강씨봉
경기도 가평군 상면 원흥리,가평군청,675.5,418200301,개주산
경기도 가평군 설악면 이천리,가평군청,627.9,418200701,곡달산
경기도 가평군 조종면 대보리,가평군청,438.6,418201101,대금산
경기도 고양시 덕양구 선유동 ,고양시 덕양구청,559.9,412801301,개명산
경기도 고양시 덕양구 행주외동 ,고양시 덕양구청,124.6,412800501,덕양산
경기도 고양시 덕양구 현천동 ,고양시 덕양구청,126.3,412800401,대덕산
경기도 과천시 중앙동 ,과천시청,632.2,412900101,관악산
경기도 광명시 가학동 ,광명시청,220,412100501,가학산
경기도 광명시 가학동 ,광명시청,220,412100501,가학산
경기도 광명시 하안동 ,광명시청,200.7,412100301,도덕산
경기도 광명시 하안동 ,광명시청,240.8,412100201,구름산
