트랙포인트고유번호,부모트랙고유번호,트랙포인트정렬순서,트랙포인트경도,트랙포인트위도,트랙포인트해발고도,트랙포인트X좌표,트랙포인트Y좌표
27038670,20193338814,14,128.315406,36.113676,89.51,1073385.75,1791049.67
27038680,20193338814,24,128.315595,36.11437,111.39,1073402.12,1791126.79
27038690,20193338814,34,128.316141,36.115085,96.61,1073450.59,1791206.51
27038700,20193338814,44,128.316721,36.115867,114.5,1073502.06,1791293.69
27038730,20193338814,60,128.318281,36.116787,118.19,1073641.6,1791396.92
27038750,20193338814,67,128.318748,36.11732,108.93,1073683.13,1791456.39
27038790,20193338814,80,128.319845,36.11815,102.57,1073781.08,1791549.29
27038830,20193338814,93,128.320173,36.119266,110.26,1073809.56,1791673.33
27038880,20193338814,107,128.31944,36.120497,112.84,1073742.44,1791809.31
27039130,20193338814,157,128.323085,36.122329,87.47,1074068.74,1792015.29
27039140,20193338814,159,128.323299,36.12241,86.62,1074087.92,1792024.44
27039150,20193338814,161,128.323547,36.122548,89.48,1074110.11,1792039.93
27039220,20193338814,175,128.325075,36.123216,81.46,1074246.99,1792115.19
27039230,20193338814,177,128.325303,36.123284,81.36,1074267.44,1792122.91
27039300,20193338814,191,128.326815,36.123543,81.28,1074403.26,1792152.8
27039310,20193338814,193,128.326974,36.123634,86.08,1074417.49,1792163.01
27039340,20193338814,199,128.327734,36.123635,80.22,1074485.88,1792163.71
27039380,20193338814,207,128.328695,36.123668,82.41,1074572.33,1792168.1
27039420,20193338814,215,128.328969,36.123684,83.37,1074596.97,1792170.09
27039430,20193338814,217,128.328749,36.123615,82.99,1074577.24,1792162.27
27039440,20193338814,219,128.328534,36.123547,84.15,1074557.95,1792154.56
27039450,20193338814,221,128.328603,36.123563,79.87,1074564.15,1792156.39
27039460,20193338814,223,128.328738,36.123707,80.82,1074576.16,1792172.46
27039470,20193338814,225,128.328983,36.123792,79.11,1074598.13,1792182.08
27039640,20193338814,262,128.330341,36.122094,89.61,1074721.94,1791994.78
27039660,20193338814,269,128.330604,36.12154,105.22,1074746.13,1791933.53
27039710,20193338814,281,128.330199,36.120499,120.01,1074710.67,1791817.75
27039720,20193338814,283,128.330288,36.120389,121.5,1074718.79,1791805.62
27039750,20193338814,289,128.330497,36.119888,144.98,1074738.07,1791750.21
27039780,20193338814,299,128.329541,36.119932,161.44,1074651.99,1791754.35
27039840,20193338814,314,128.327924,36.119827,155.52,1074506.57,1791741.47
27039990,20193338814,339,128.325568,36.118805,144.76,1074295.51,1791626.3
27040020,20193338814,343,128.325224,36.118596,160.93,1074264.75,1791602.86
27040100,20193338814,354,128.324067,36.118306,179.99,1074160.9,1791569.81
27040240,20193338814,374,128.322996,36.117872,193.58,1074064.92,1791520.85
27040560,20193338814,433,128.321994,36.113118,278.91,1073979.2,1790992.77
27040630,20193338814,443,128.321917,36.112244,253.23,1073973.09,1790895.77
27040660,20193338814,447,128.321982,36.111993,265.76,1073979.18,1790867.98
27040750,20193338814,460,128.321839,36.110861,272.65,1073967.37,1790742.31
27040770,20193338814,463,128.321674,36.110582,271.53,1073952.78,1790711.23
27040940,20193338814,487,128.320932,36.108675,283.1,1073887.78,1790499.15
27041060,20193338814,504,128.321566,36.10736,261.52,1073946.08,1790353.77
27041200,20193338814,524,128.32186,36.105685,274.99,1073974.11,1790168.2
27041280,20193338814,536,128.322249,36.104646,268.4,1074010.1,1790053.25
27041290,20193338814,538,128.322338,36.104459,269.09,1074018.29,1790032.58
27041300,20193338814,540,128.32242,36.104271,265.73,1074025.84,1790011.79
27041310,20193338814,542,128.322631,36.10416,256.25,1074044.94,1789999.63
27041320,20193338814,544,128.322764,36.104037,248.75,1074057.03,1789986.09
27041490,20193338814,578,128.324245,36.101337,272.64,1074192.87,1789687.74
27041520,20193338814,588,128.325118,36.100674,260.75,1074272.08,1789614.86
27041530,20193338814,591,128.325329,36.100409,260.07,1074291.32,1789585.63
27041540,20193338814,594,128.325591,36.100328,256.18,1074314.99,1789576.85
27041560,20193338814,601,128.325572,36.099999,246.68,1074313.58,1789540.34
27041580,20193338814,608,128.325287,36.099554,236.59,1074288.35,1789490.76
27041610,20193338814,618,128.3259,36.098997,269.15,1074344.05,1789429.45
27041630,20193338814,631,128.326931,36.098217,289.94,1074437.6,1789343.72
27041640,20193338814,641,128.327615,36.097591,325.96,1074499.76,1789274.81
27041650,20193338814,651,128.328494,36.097234,351.5,1074579.23,1789235.88
27041660,20193338814,661,128.329184,36.09681,390.11,1074641.74,1789189.38
27041670,20193338814,671,128.32888,36.095985,376.56,1074615.15,1789097.64
27041680,20193338814,681,128.329161,36.095225,384.29,1074641.17,1789013.56
27041750,20193338814,697,128.329815,36.094079,418.68,1074701.13,1788886.94
27041760,20193338814,699,128.329891,36.093966,431.69,1074708.08,1788874.47
27041830,20193338814,713,128.330568,36.093187,491.02,1074769.76,1788788.58
27041840,20193338814,715,128.330668,36.093052,467.56,1074778.89,1788773.69
27041850,20193338814,717,128.330754,36.092942,476.03,1074786.74,1788761.55
27041860,20193338814,719,128.330829,36.092811,457.24,1074793.61,1788747.08
27041880,20193338814,723,128.330886,36.092521,466.52,1074799.02,1788714.95
27042000,20193338814,748,128.329876,36.091386,536.34,1074709.17,1788588.28
27042010,20193338814,750,128.329681,36.09132,541.55,1074691.68,1788580.81
27042020,20193338814,752,128.329482,36.091236,537.27,1074673.84,1788571.34
27042030,20193338814,754,128.329274,36.091224,519.46,1074655.13,1788569.85
27042040,20193338814,756,128.329094,36.091151,461.21,1074638.99,1788561.62
27042050,20193338814,758,128.328928,36.091102,499.69,1074624.09,1788556.05
27042230,20193338814,794,128.325515,36.091245,545.69,1074316.7,1788569.3
27042250,20193338814,798,128.32517,36.091242,542.49,1074285.64,1788568.71
27042320,20193338814,815,128.32357,36.091072,533.29,1074141.76,1788548.63
27042330,20193338814,825,128.322712,36.091599,511.89,1074064.02,1788606.43
27042340,20193338814,835,128.321688,36.091586,480.26,1073971.84,1788604.21
27042350,20193338814,845,128.320821,36.09103,472.52,1073894.31,1788541.88
27042360,20193338814,855,128.319774,36.090751,462.09,1073800.32,1788510.14
27042370,20193338814,865,128.31871,36.090541,494.93,1073704.72,1788486.04
27042380,20193338814,875,128.318204,36.089792,484.69,1073659.87,1788402.57
27042420,20193338814,889,128.317354,36.088636,481.15,1073584.42,1788273.71
27042450,20193338814,899,128.316214,36.088529,453.19,1073481.89,1788260.98
27042480,20193338814,909,128.316048,36.089311,448.73,1073466.21,1788347.59
27042510,20193338814,919,128.316035,36.09022,422.35,1073464.2,1788448.41
27042540,20193338814,929,128.315875,36.091095,399.64,1073448.98,1788545.34
27042590,20193338814,945,128.316002,36.09246,338.88,1073459.14,1788696.84
27042610,20193338814,952,128.316001,36.093036,343.8,1073458.52,1788760.73
27042630,20193338814,959,128.315689,36.093506,332.89,1073429.99,1788812.63
27042660,20193338814,969,128.316399,36.094122,311.61,1073493.34,1788881.49
27042690,20193338814,979,128.317289,36.09473,306.04,1073572.89,1788949.6
27042730,20193338814,992,128.318272,36.095608,280.43,1073660.56,1789047.74
27042780,20193338814,1009,128.318825,36.09667,254.4,1073709.35,1789165.95
27042800,20193338814,1016,128.318647,36.097169,243.6,1073692.86,1789221.17
27042830,20193338814,1026,128.319099,36.097876,233.56,1073732.89,1789299.93
27042860,20193338814,1042,128.319289,36.099373,227.48,1073748.6,1789466.12
27042870,20193338814,1052,128.319612,36.100367,213.65,1073776.74,1789576.62
27042880,20193338814,1062,128.319718,36.101249,204.8,1073785.46,1789674.53
27042890,20193338814,1072,128.31912,36.101939,174.01,1073730.98,1789750.61
